中文片名,上映日期,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
刺殺小說家,2021/2/26,11,95,-80.65%,"22,810","15,719","3,782,369"
愛.殺,2021/3/19,19,"1,724",-11.91%,"401,758","3,681","841,086"
削瘦的靈魂,2021/3/19,9,793,91.55%,"178,900","1,207","271,799"
動保蝙蝠俠,2021/3/19,6,826,257.58%,"114,640","1,057","134,260"
揭大歡喜,2021/3/12,71,"1,463",-57.32%,"324,636","9,584","2,188,683"
尼泊爾布思議,2021/3/12,5,837,43.32%,"116,400","1,438","194,400"
東經北緯,2021/3/5,19,"1,348",-45.65%,"303,393","11,963","2,827,833"
複身犯,2021/2/26,54,870,-69.91%,"204,783","61,530","14,525,401"
伏魔殿,2021/2/26,4,371,0.82%,"59,360","1,922","307,570"
洞兩洞六,2021/2/19,1,22,-97.04%,"3,520","2,026","323,820"
我沒有談的那場戀愛,2021/2/10,29,506,-68.73%,"124,246","158,471","37,891,882"
跟你老婆去旅行,2021/2/10,1,2,-81.82%,410,"55,382","13,070,665"
角頭－浪流連,2021/2/5,80,"3,511",-63.13%,"820,390","681,483","161,328,172"
緝魂,2021/1/29,16,209,-73.17%,"48,738","212,842","50,629,539"
聽見臺灣,2021/1/22,4,216,-44.04%,"42,595","2,349","492,070"
杏林醫院,2020/12/31,5,161,-54.90%,"16,565","128,065","29,325,106"
腿,2020/12/24,4,318,-10.17%,"20,685","34,345","7,855,700"
親愛的殺手,2020/12/4,2,80,0.00%,"10,050","28,191","6,449,064"
十二夜2：回到第零天,2020/11/27,1,150,0.00%,"36,000","17,029","3,814,537"
同學麥娜絲,2020/11/20,1,54,-44.90%,"5,160","193,630","44,870,132"
孤味,2020/11/6,1,23,-79.09%,"1,150","828,395","190,866,985"
親愛的房客,2020/10/23,4,132,-62.61%,"9,670","164,158","38,712,262"
